item_id,is_correct,dataset,h0_total_persistence,h0_max_persistence,h0_n_bars,h0_persistence_entropy,h1_total_persistence,h1_max_persistence,h1_n_bars
gsm8k_0000,1,gsm8k_llama8b,5.21905905008316,0.8257425427436829,7.0,1.9408622052849231,0.0,0.0,0.0
gsm8k_0001,1,gsm8k_llama8b,4.350082755088806,0.9968559741973877,6.0,1.7632531368410866,0.0,0.0,0.0
gsm8k_0002,0,gsm8k_llama8b,2.3611075282096863,0.8239745497703552,3.0,1.09797543606368,0.0,0.0,0.0
gsm8k_0003,1,gsm8k_llama8b,5.382950603961945,0.85812908411026,7.0,1.9416506661207715,0.1096838116645813,0.05108422040939331,3.0
gsm8k_0004,0,gsm8k_llama8b,1.6891627609729767,0.6980763673782349,3.0,1.0838792654938756,0.0,0.0,0.0
gsm8k_0005,0,gsm8k_llama8b,3.7007229328155518,0.9093039631843567,5.0,1.6019579779851985,0.0,0.0,0.0
gsm8k_0006,0,gsm8k_llama8b,5.252205491065979,1.0501105785369873,7.0,1.9312027840878216,0.0,0.0,0.0
gsm8k_0007,0,gsm8k_llama8b,5.217639982700348,0.8331417441368103,8.0,2.0504680396179564,0.0,0.0,0.0
gsm8k_0008,0,gsm8k_llama8b,10.34483128786087,0.9170268177986145,14.0,2.6283763488117526,0.05367112159729004,0.05367112159729004,1.0
gsm8k_0009,0,gsm8k_llama8b,7.744583964347839,0.8614510893821716,10.0,2.2992320270264166,0.20230001211166382,0.085238516330719,3.0
gsm8k_0010,0,gsm8k_llama8b,3.2975074648857117,0.8491150140762329,5.0,1.5974298825900473,0.0,0.0,0.0
gsm8k_0011,0,gsm8k_llama8b,3.3695183992385864,1.086774468421936,4.0,1.3455799337809589,0.0,0.0,0.0
gsm8k_0012,0,gsm8k_llama8b,9.840680122375488,1.1287100315093994,11.0,2.3909353802861735,0.1898810863494873,0.07329285144805908,4.0
gsm8k_0013,1,gsm8k_llama8b,5.662211775779724,1.099151372909546,7.0,1.924133230902258,0.006338655948638916,0.006338655948638916,1.0
gsm8k_0014,0,gsm8k_llama8b,5.641281336545944,1.088923692703247,7.0,1.9195073386476311,0.0,0.0,0.0
gsm8k_0015,0,gsm8k_llama8b,10.432551220059395,1.0308033227920532,13.0,2.525286304265504,0.33630257844924927,0.18300092220306396,2.0
gsm8k_0016,0,gsm8k_llama8b,4.88039031624794,0.8576172590255737,7.0,1.9235997104760616,0.0,0.0,0.0
gsm8k_0017,0,gsm8k_llama8b,3.40595406293869,0.860608696937561,5.0,1.6005898246552035,0.07947492599487305,0.07947492599487305,1.0
gsm8k_0018,1,gsm8k_llama8b,3.979064404964447,1.0370889902114868,5.0,1.5802685798910776,0.0,0.0,0.0
gsm8k_0019,1,gsm8k_llama8b,3.8331336975097656,0.9562548995018005,5.0,1.6008555105861448,0.0,0.0,0.0
gsm8k_0020,0,gsm8k_llama8b,6.257893145084381,0.8539832234382629,9.0,2.1881534384936643,0.00869208574295044,0.00869208574295044,1.0
gsm8k_0021,0,gsm8k_llama8b,2.531329572200775,0.7211864590644836,4.0,1.3805206626722935,0.034113287925720215,0.034113287925720215,1.0
gsm8k_0022,1,gsm8k_llama8b,3.86920502781868,0.7934081554412842,6.0,1.7649694854959255,0.05566829442977905,0.05566829442977905,1.0
gsm8k_0023,0,gsm8k_llama8b,3.5379547476768494,0.9270986914634705,5.0,1.5951409286151668,0.0056989192962646484,0.0056989192962646484,1.0
gsm8k_0024,0,gsm8k_llama8b,6.365176558494568,0.9610622525215149,8.0,2.0655066390008816,0.0,0.0,0.0
gsm8k_0025,1,gsm8k_llama8b,12.113611996173859,0.9977021813392639,14.0,2.6277638752084105,0.23363125324249268,0.09720134735107422,6.0
gsm8k_0026,0,gsm8k_llama8b,4.767763316631317,1.0908091068267822,6.0,1.7692598374041753,0.011577725410461426,0.011577725410461426,1.0
gsm8k_0027,0,gsm8k_llama8b,3.5395472943782806,0.8825600743293762,5.0,1.582494711694597,0.0,0.0,0.0
gsm8k_0028,0,gsm8k_llama8b,3.2867713570594788,0.7817402482032776,5.0,1.5967464240640528,0.001776576042175293,0.001776576042175293,1.0
gsm8k_0029,0,gsm8k_llama8b,14.536033868789673,1.1042006015777588,20.0,2.9621244823916157,0.10270172357559204,0.04248601198196411,5.0
gsm8k_0030,0,gsm8k_llama8b,7.974642276763916,1.0841587781906128,10.0,2.274364799640571,0.039748191833496094,0.039748191833496094,1.0
gsm8k_0031,1,gsm8k_llama8b,7.265687167644501,1.081429362297058,9.0,2.1774617586145273,0.07356029748916626,0.03411591053009033,3.0
gsm8k_0032,0,gsm8k_llama8b,4.738616168498993,0.8871088027954102,6.0,1.786408218641474,0.0,0.0,0.0
gsm8k_0033,1,gsm8k_llama8b,8.953374028205872,1.0250521898269653,12.0,2.4729639047852103,0.03182053565979004,0.03182053565979004,1.0
gsm8k_0034,1,gsm8k_llama8b,1.9855587482452393,0.7213095426559448,3.0,1.092376674979062,0.0,0.0,0.0
gsm8k_0035,1,gsm8k_llama8b,6.880145847797394,0.949592113494873,8.0,2.074522875866892,0.0,0.0,0.0
gsm8k_0036,0,gsm8k_llama8b,3.672531008720398,1.02806556224823,4.0,1.3801701058893683,0.0,0.0,0.0
gsm8k_0037,0,gsm8k_llama8b,2.303937077522278,0.9086342453956604,3.0,1.0752866135648216,0.0,0.0,0.0
gsm8k_0038,0,gsm8k_llama8b,3.8368528485298157,0.8609111309051514,5.0,1.6035366553182946,0.02306300401687622,0.02306300401687622,1.0
gsm8k_0039,1,gsm8k_llama8b,13.98802262544632,0.9565309286117554,19.0,2.9347704221673148,0.28136634826660156,0.1000673770904541,7.0
gsm8k_0040,1,gsm8k_llama8b,2.3436757624149323,0.7166566848754883,4.0,1.3619439526759183,0.0,0.0,0.0
gsm8k_0041,1,gsm8k_llama8b,6.222346007823944,0.993377149105072,9.0,2.1660981559631165,0.0,0.0,0.0
gsm8k_0042,1,gsm8k_llama8b,4.31730192899704,1.0532598495483398,5.0,1.6028662276743906,0.05041617155075073,0.05041617155075073,1.0
gsm8k_0043,0,gsm8k_llama8b,5.279355764389038,1.026261329650879,6.0,1.7854156115751403,0.0033164024353027344,0.0033164024353027344,1.0
gsm8k_0044,0,gsm8k_llama8b,5.79560774564743,0.9732004404067993,7.0,1.936600679496106,0.020022809505462646,0.020022809505462646,1.0
gsm8k_0045,1,gsm8k_llama8b,6.591759473085403,0.9233893156051636,9.0,2.173090195408718,0.026175320148468018,0.026175320148468018,1.0
gsm8k_0046,0,gsm8k_llama8b,7.482174456119537,1.0746405124664307,9.0,2.1586579594814155,0.0008262395858764648,0.0008262395858764648,1.0
gsm8k_0047,0,gsm8k_llama8b,5.270074009895325,0.9138876795768738,8.0,2.0646838223117108,0.0560796856880188,0.044301748275756836,2.0
gsm8k_0048,1,gsm8k_llama8b,3.39460289478302,0.8816859722137451,4.0,1.3855090061650852,0.0,0.0,0.0
gsm8k_0049,1,gsm8k_llama8b,5.467521250247955,0.9918370842933655,7.0,1.9297954125492969,0.0,0.0,0.0
gsm8k_0050,1,gsm8k_llama8b,6.656911194324493,0.9787270426750183,8.0,2.073390516909379,0.0,0.0,0.0
gsm8k_0051,0,gsm8k_llama8b,3.4550642371177673,1.0002999305725098,4.0,1.3782525224267814,0.0,0.0,0.0
gsm8k_0052,1,gsm8k_llama8b,4.092785537242889,0.9928945302963257,5.0,1.5940748686143746,0.08471310138702393,0.08471310138702393,1.0
gsm8k_0053,0,gsm8k_llama8b,6.232022762298584,1.0177041292190552,8.0,2.071957285387343,0.016637682914733887,0.016637682914733887,1.0
gsm8k_0054,0,gsm8k_llama8b,5.151064693927765,0.8456074595451355,7.0,1.9411302312372292,0.0741276741027832,0.03661620616912842,3.0
gsm8k_0055,1,gsm8k_llama8b,4.446348547935486,1.1439592838287354,5.0,1.5947440147947534,0.0,0.0,0.0
gsm8k_0056,1,gsm8k_llama8b,3.707240879535675,0.9783846735954285,4.0,1.3855075840124795,0.0,0.0,0.0
gsm8k_0057,0,gsm8k_llama8b,6.852266311645508,0.913537859916687,9.0,2.189604997204917,0.04650765657424927,0.04650765657424927,1.0
gsm8k_0058,1,gsm8k_llama8b,5.633841693401337,0.980302095413208,7.0,1.9329573603953911,0.04409933090209961,0.03772151470184326,2.0
gsm8k_0059,1,gsm8k_llama8b,2.0969411730766296,0.7195640206336975,3.0,1.0983831627815053,0.0,0.0,0.0
gsm8k_0060,1,gsm8k_llama8b,4.145408451557159,0.7557244300842285,6.0,1.7891106503954184,0.0,0.0,0.0
gsm8k_0061,0,gsm8k_llama8b,3.39420884847641,0.9323045015335083,4.0,1.3826118427808851,0.0,0.0,0.0
gsm8k_0062,0,gsm8k_llama8b,4.643088340759277,0.8893745541572571,7.0,1.9260655903013868,0.0,0.0,0.0
gsm8k_0063,0,gsm8k_llama8b,4.9770601987838745,0.9829531908035278,6.0,1.7851633478840618,0.030578136444091797,0.030578136444091797,1.0
gsm8k_0064,1,gsm8k_llama8b,4.25439453125,0.743913471698761,6.0,1.7909258870328926,0.0,0.0,0.0
gsm8k_0065,1,gsm8k_llama8b,4.571059167385101,1.0266444683074951,6.0,1.7717144940606822,0.0,0.0,0.0
gsm8k_0066,1,gsm8k_llama8b,4.775008022785187,0.8672574758529663,7.0,1.9214229325479038,0.02403426170349121,0.02403426170349121,1.0
gsm8k_0067,0,gsm8k_llama8b,4.750732362270355,0.7309807538986206,7.0,1.9440034023659496,0.0,0.0,0.0
gsm8k_0068,1,gsm8k_llama8b,3.3131377696990967,1.0523775815963745,4.0,1.3692948437137868,0.0,0.0,0.0
gsm8k_0069,0,gsm8k_llama8b,2.8607980608940125,0.9233189225196838,4.0,1.3699837745752115,0.0,0.0,0.0
gsm8k_0070,0,gsm8k_llama8b,3.8658440709114075,0.8822712898254395,5.0,1.6052114913459148,0.0,0.0,0.0
gsm8k_0071,1,gsm8k_llama8b,1.1785144209861755,0.620570957660675,2.0,0.6917345296153445,0.0,0.0,0.0
gsm8k_0072,0,gsm8k_llama8b,3.0501691102981567,0.7936481833457947,4.0,1.3858899223219832,0.0,0.0,0.0
gsm8k_0073,0,gsm8k_llama8b,4.805752098560333,1.0617769956588745,6.0,1.7752178093072848,0.009944796562194824,0.005086660385131836,2.0
gsm8k_0074,0,gsm8k_llama8b,3.075206160545349,0.9688263535499573,4.0,1.3695736981761748,0.0,0.0,0.0
gsm8k_0075,0,gsm8k_llama8b,4.1937768161296844,0.935338020324707,6.0,1.7702715870005183,0.0,0.0,0.0
gsm8k_0076,1,gsm8k_llama8b,6.321731925010681,0.7907562851905823,9.0,2.172641688504336,0.1901358962059021,0.15506935119628906,2.0
gsm8k_0077,1,gsm8k_llama8b,4.096806049346924,0.9985643029212952,5.0,1.6006225926636368,0.019448578357696533,0.019448578357696533,1.0
gsm8k_0078,0,gsm8k_llama8b,7.801717758178711,0.9993172287940979,11.0,2.3390308740358683,0.04234886169433594,0.022521257400512695,2.0
gsm8k_0079,0,gsm8k_llama8b,3.034077763557434,1.0282078981399536,4.0,1.3454176277845167,0.023426175117492676,0.023426175117492676,1.0
gsm8k_0080,1,gsm8k_llama8b,4.6483317613601685,0.8793520927429199,6.0,1.78301534217087,0.0,0.0,0.0
gsm8k_0081,1,gsm8k_llama8b,2.6897798776626587,0.8487067818641663,4.0,1.3741146612837212,0.0,0.0,0.0
gsm8k_0082,1,gsm8k_llama8b,5.510907173156738,1.1874581575393677,7.0,1.9176101578927613,0.0,0.0,0.0
gsm8k_0083,1,gsm8k_llama8b,1.1836716532707214,0.651382327079773,2.0,0.6880770974711403,0.0,0.0,0.0
gsm8k_0084,1,gsm8k_llama8b,5.742004215717316,0.9335711598396301,8.0,2.063113606207857,0.0,0.0,0.0
gsm8k_0085,0,gsm8k_llama8b,5.773109495639801,1.0415196418762207,7.0,1.9346020957721428,0.033876776695251465,0.033876776695251465,1.0
gsm8k_0086,0,gsm8k_llama8b,5.763017982244492,1.211398720741272,7.0,1.8454907312267366,0.062293171882629395,0.05234265327453613,2.0
gsm8k_0087,0,gsm8k_llama8b,5.4063990116119385,0.9055050015449524,8.0,2.0512037219994688,0.0,0.0,0.0
gsm8k_0088,1,gsm8k_llama8b,9.150355577468872,1.164098858833313,11.0,2.362155016213839,0.0,0.0,0.0
gsm8k_0089,1,gsm8k_llama8b,4.894267976284027,1.0675392150878906,6.0,1.7790177311737478,0.0,0.0,0.0
gsm8k_0090,0,gsm8k_llama8b,1.825837790966034,0.9400224089622498,2.0,0.6927064018417957,0.0,0.0,0.0
gsm8k_0091,0,gsm8k_llama8b,11.089082717895508,1.1294903755187988,14.0,2.618418071938463,0.0,0.0,0.0
