item_id,dataset,is_correct,total_tokens,total_episodes,prop_forward,prop_verification,prop_backtrack,prop_restart,prop_hesitation,prop_subgoal,prop_conclusion,backtrack_count,verification_count,restart_count,vf_ratio,bt_position_mean,first_conclusion_pos,v_clustering,max_forward_run,transition_entropy,cycle_count,wait_ratio,question_mark_count,negation_count,repetition_rate_4gram
gpqa_0000,gpqa_diamond,0,5404.0,395.0,0.7341772151898734,0.007594936708860759,0.14177215189873418,0.043037974683544304,0.06582278481012659,0.0,0.007594936708860759,56.0,3.0,17.0,0.010344827586206896,0.4924311094996375,0.46446700507614214,0.40096618357487923,13.0,1.1017762585044277,271.0,0.01147298297557365,4.0,73.0,0.29309387150527677
gpqa_0001,gpqa_diamond,1,4587.0,345.0,0.5246376811594203,0.002898550724637681,0.2898550724637681,0.10144927536231885,0.07536231884057971,0.002898550724637681,0.002898550724637681,100.0,1.0,35.0,0.0055248618784530384,0.503139534883721,0.9912790697674418,0.0,9.0,0.9271012521257472,222.0,0.02114671898844561,8.0,98.0,0.20986038394415363
gpqa_0002,gpqa_diamond,0,1284.0,132.0,0.8560606060606061,0.015151515151515152,0.06060606060606061,0.022727272727272728,0.022727272727272728,0.015151515151515152,0.007575757575757576,8.0,2.0,3.0,0.017699115044247787,0.46564885496183206,0.9847328244274809,0.0,23.0,0.6004370645287371,45.0,0.008566978193146417,0.0,3.0,0.07416081186572987
gpqa_0003,gpqa_diamond,0,998.0,71.0,0.8450704225352113,0.0,0.056338028169014086,0.028169014084507043,0.056338028169014086,0.014084507042253521,0.0,4.0,0.0,2.0,0.0,0.4464285714285714,1.0,0.0,13.0,0.5568558388727981,22.0,0.011022044088176353,0.0,10.0,0.09748743718592967
gpqa_0004,gpqa_diamond,0,14289.0,1253.0,0.839584996009577,0.0039904229848363925,0.06943335993615324,0.04229848363926576,0.03990422984836393,0.0031923383878691143,0.0015961691939345571,87.0,5.0,53.0,0.004752851711026616,0.4686662259924351,0.7931309904153354,0.4625805124133482,58.0,0.9495774581547138,1029.0,0.006438519140597662,15.0,147.0,0.3935321293574129
gpqa_0005,gpqa_diamond,1,12050.0,899.0,0.6318131256952169,0.01557285873192436,0.1668520578420467,0.06674082313681869,0.11123470522803114,0.006674082313681869,0.0011123470522803114,150.0,14.0,60.0,0.02464788732394366,0.5001113585746102,0.8652561247216035,1.1372075843971519,17.0,1.1818738864190466,664.0,0.014854771784232366,4.0,184.0,0.405661160454885
gpqa_0006,gpqa_diamond,0,7784.0,671.0,0.7019374068554396,0.007451564828614009,0.16840536512667661,0.041728763040238454,0.06706408345752608,0.011922503725782414,0.0014903129657228018,113.0,5.0,28.0,0.010615711252653927,0.4772421080438515,1.0,0.7839908297832369,25.0,1.2791434163567346,499.0,0.015287769784172662,2.0,85.0,0.3060017992545945
gpqa_0007,gpqa_diamond,1,3210.0,241.0,0.8174273858921162,0.004149377593360996,0.06224066390041494,0.03319502074688797,0.07053941908713693,0.004149377593360996,0.008298755186721992,15.0,1.0,8.0,0.005076142131979695,0.6533333333333334,0.975,0.0,28.0,0.6830605262601647,137.0,0.004984423676012461,1.0,69.0,0.2912379170564391
gpqa_0008,gpqa_diamond,1,1063.0,85.0,0.7411764705882353,0.011764705882352941,0.08235294117647059,0.07058823529411765,0.08235294117647059,0.011764705882352941,0.0,7.0,1.0,6.0,0.015873015873015872,0.5833333333333333,1.0,0.0,9.0,0.7806391626835643,22.0,0.008466603951081843,6.0,16.0,0.059433962264150986
gpqa_0009,gpqa_diamond,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
